passengers_num,numSecurity,numAllPass,numShengen,max_time,avg_time
200,1,1,20,1137.4975033408314,1044.6841055450614
200,1,2,20,1158.35965046405,1063.567602266119
200,1,3,20,1155.0483853538751,1042.4481117085404
200,2,1,20,613.0441052467983,547.805074627139
200,2,2,20,671.3766644486018,593.3116771560607
200,2,3,20,649.937390563133,577.3738532934316
200,3,1,20,448.29792721914237,393.2981850747295
200,3,2,20,423.39514946368337,375.7984907075861
200,3,3,20,441.437095547125,386.16713629870065
200,4,1,20,374.0692915874595,302.16850018611507
200,4,2,20,361.7305716488859,314.51479375240314
200,4,3,20,348.7287282280415,307.56487295802407
200,5,1,20,313.0856174927399,268.24488489952535
200,5,2,20,319.2868461752344,255.45188646189956
200,5,3,20,305.3957480531952,267.9173936057895
200,6,1,20,283.2196845393947,228.69187600720062
200,6,2,20,275.82408041937117,226.20427902142265
200,6,3,20,277.39938436926514,223.87220140006986
200,7,1,20,256.57771059341803,206.46123992542618
200,7,2,20,248.30816419513633,206.18501253783145
200,7,3,20,241.23940211242885,205.4930677783908
200,8,1,20,217.55182204382191,186.13245425023115
200,8,2,20,220.11180899420322,184.39469880718138
200,8,3,20,230.31409435247056,181.18212927415337
200,9,1,20,206.34304914365478,172.79610109098132
200,9,2,20,225.88590809182165,183.17107280160516
200,9,3,20,217.4991166526375,172.83855032160702
200,15,1,20,167.0848705543512,123.52287841739003
200,15,2,20,146.82134830280128,117.70487519868492
200,15,3,20,162.3299887436538,126.70655536329137
200,20,1,20,164.53276577193202,125.3823628727482
200,20,2,20,134.35581084990534,108.26692179155232
200,20,3,20,140.709344805304,110.64361062334596
200,30,1,20,143.2671044536384,101.4593189084811
200,30,2,20,122.49826477750824,90.7434970821079
200,30,3,20,121.45972332388257,91.7020251269254
