passengers_num,numSecurity,numAllPass,numShengen,max_time,avg_time,schengen
100,3,3,20,257.18893811772523,214.51189358506394,0
100,3,3,20,246.63017527919527,186.68294073236908,1
200,3,3,20,437.94811887591527,363.58861543973234,1
200,3,3,20,448.2728540845559,398.0386083396169,0
300,3,3,20,666.6517129028595,601.6112541933238,0
300,3,3,20,681.7933421047385,570.4292471750487,1
500,3,3,20,1011.4014989215913,885.2097867013324,1
500,3,3,20,973.2932662051893,915.2182298996738,0
750,3,3,20,1473.1942821684236,1388.5194469745907,0
750,3,3,20,1471.5795390023918,1364.47286022827,1
